asset,strategy,start_date,end_date,trading_days,cagr,ann_volatility,sharpe,max_drawdown,calmar,end_$,rebalances,trading_costs,pct_cash,pct_invested
Gold (GLD),Buy & hold 1x,2008-06-26,2026-05-18,4501,0.13765446544355275,0.1785246282547346,0.5693275231729187,-0.3369159235120324,0.40857215654467766,1004.9154348484191,0,0.0,0.0,100.0
Gold (GLD),Guarded A5/B25 lead 0.75% (max 1x),2008-06-26,2026-05-18,4501,0.17208943873914517,0.1368798366332846,2.9832037091840755,-0.18598488384840378,0.9252872339851835,1696.1762395667386,473,2588.50313545453,32.148411464119086,67.85158853588092
Gold (GLD),SMA20 1x/cash,2008-06-26,2026-05-18,4501,0.16186065173799746,0.12757063445579464,3.419772512050536,-0.1775716374955477,0.9115231127046167,1449.979604462777,545,2592.7264519323185,44.7233948011553,55.2766051988447
Nasdaq 100,Buy & hold 1x,2008-06-26,2026-05-18,4501,0.20543953756238453,0.22721660735684662,0.7912785143970981,-0.47234750547796434,0.43493304226197205,2830.3640093809718,0,0.0,0.0,100.0
Nasdaq 100,Guarded A5/B25 lead 0.75% (max 1x),2008-06-26,2026-05-18,4501,0.3436691207752589,0.14270449398950413,3.798644707063559,-0.10442493467612152,3.2910637851118953,19544.432551883096,450,14776.99571306806,28.060431015329925,71.93956898467007
Nasdaq 100,SMA20 1x/cash,2008-06-26,2026-05-18,4501,0.3246340345743408,0.13099781985077086,4.170021216898938,-0.09057634412532008,3.584092929663644,15141.102142777478,488,13373.789469280782,34.3034881137525,65.6965118862475
SPX,Buy & hold 1x,2008-06-26,2026-05-18,4501,0.1497265765897715,0.19902895608740045,0.5928438472827189,-0.4235589484550948,0.35349643098295996,1213.8059491153888,0,0.0,0.0,100.0
SPX,Guarded A5/B25 lead 0.75% (max 1x),2008-06-26,2026-05-18,4501,0.21794173537101558,0.11533160082902266,3.7316157774102443,-0.17942546175676893,1.2146644809333678,3370.1740934663185,444,3826.818819595112,28.015996445234393,71.98400355476561
SPX,SMA20 1x/cash,2008-06-26,2026-05-18,4501,0.1823313866448626,0.1087837182334736,3.885419372817783,-0.16919120234236945,1.0776647019500643,1981.8680690795038,492,2874.0399195640703,33.792490557653856,66.20750944234615
World equities (30y proxy -> VT),Buy & hold 1x,2008-06-27,2026-05-18,4500,0.13755700551061834,0.20562843609456807,0.5145624020878886,-0.4626562046243245,0.2973201356335732,1003.0222741853454,0,0.0,0.0,100.0
World equities (30y proxy -> VT),Guarded A5/B25 lead 0.75% (max 1x),2008-06-27,2026-05-18,4500,0.20958012825134253,0.12326316109015238,3.485671710795935,-0.12921043232331833,1.6220062458031113,2977.8032619547234,448,3977.934012048654,27.666666666666668,72.33333333333333
World equities (30y proxy -> VT),SMA20 1x/cash,2008-06-27,2026-05-18,4500,0.17971545167982583,0.11236004329891197,3.9833799637316307,-0.1476052744287687,1.2175408526241578,1904.0008526892852,532,3452.5436387708005,35.71111111111111,64.28888888888889
World equities (VT),Buy & hold 1x,2008-06-26,2026-05-18,4501,0.13748823705011226,0.20560615018851933,0.5140644640094987,-0.4630898411560668,0.2968932263918463,1002.2915555856297,0,0.0,0.0,100.0
World equities (VT),Guarded A5/B25 lead 0.75% (max 1x),2008-06-26,2026-05-18,4501,0.20954794607634475,0.12325007553401718,3.4852966661042206,-0.12921043232331894,1.6217571778724487,2977.936973089958,448,3978.1222906219227,27.682737169517885,72.31726283048212
World equities (VT),SMA20 1x/cash,2008-06-26,2026-05-18,4501,0.17968841972449034,0.11234828794855481,3.9829438995159636,-0.14760621489163483,1.2173499595285244,1904.081804069898,532,3452.7036329340467,35.725394356809595,64.2746056431904
