asset,strategy,start_date,end_date,trading_days,cagr,ann_volatility,sharpe,max_drawdown,calmar,end_$,rebalances,trading_costs,pct_cash,pct_invested,tier2_entries,tier3_entries,lead_only_days,guard_blocked_days,pct_days_cash,pct_days_1x,pct_days_2x,pct_days_3x,max_leverage,ma_kind
LQQ3.L,EMA20 1x/cash,2012-12-13,2026-06-09,3451,2.4823280015997096,0.3615644414001753,4.358596084808562,-0.22921755740673033,10.829571825490637,2012071738.0551214,395,490686134.9915117,34.77252970153579,65.22747029846421,,,,,,,,,,
LQQ3.L,Guarded A5/B25 EMA20 Lead (max 1x),2012-12-13,2026-06-09,3451,2.5268859788259403,0.37001270613701503,4.277687841116309,-0.22232116630274437,11.365926244669705,2388434372.60183,383,487652966.2619188,31.787887568820633,68.21211243117936,25.0,16.0,110.0,1072.0,31.787887568820633,68.21211243117938,0.0,0.0,1.0,ema
LQQ3.L,Guarded A5/B25 SMA20 Lead (max 1x),2012-12-13,2026-06-09,3451,2.157966109504842,0.37210520856708074,3.8568379876619616,-0.22232116630274426,9.70652567810951,538233058.5329797,331,118857130.64239268,33.2657200811359,66.7342799188641,22.0,12.0,114.0,1105.0,33.2657200811359,66.73427991886409,0.0,0.0,1.0,sma
LQQ3.L,SMA20 1x/cash,2012-12-13,2026-06-09,3451,2.078255220023968,0.36316580983305047,3.952872071333144,-0.25748656414323595,8.07131520411242,381267875.07953346,371,94215053.18377113,36.19240799768183,63.80759200231817,,,,,,,,,,
NDX,EMA20 1x/cash,1996-06-10,2026-06-09,7548,0.44605175824955134,0.17146115989124674,4.139595269809917,-0.11371455236008098,3.922556515344785,6316732.575919915,985,5172593.2691143835,36.96343402225755,63.03656597774245,,,,,,,,,,
NDX,Guarded A5/B25 EMA20 Lead (full 0/1/2/3x),1996-06-10,2026-06-09,7548,1.0366112681510797,0.45330400414828437,3.4000461473649395,-0.355549543496568,2.9155184899318702,182646286621.16925,897,222904259633.83167,28.86857445680975,71.13142554319025,13.0,3.0,643.0,2095.0,28.868574456809753,5.2729199788023315,32.84313725490196,33.01536830948596,3.0,ema
NDX,Guarded A5/B25 SMA20 Lead (full 0/1/2/3x),1996-06-10,2026-06-09,7548,0.9019438749793325,0.440126198577383,3.198077675893948,-0.35510504116756425,2.5399354287221456,23464943031.056046,824,25646867938.430923,31.24006359300477,68.75993640699524,13.0,3.0,557.0,2255.0,31.24006359300477,5.219925808161102,31.465288818229997,32.07472178060413,3.0,sma
NDX,SMA20 1x/cash,1996-06-10,2026-06-09,7548,0.41539707841907636,0.16779138119959136,3.8852176371173406,-0.12135601452628564,3.4229624303383956,3321730.6664367034,879,2930569.6728951526,38.1293057763646,61.8706942236354,,,,,,,,,,
SPX,EMA20 1x/cash,1996-06-10,2026-06-09,7548,0.1825525255745335,0.10973658955294274,4.3649366265227965,-0.18204261509053096,1.0028010500934024,15133.846886424677,949,29429.339795385247,35.691573926868045,64.30842607313195,,,,,,,,,,
SPX,Guarded A5/B25 EMA20 Lead (full 0/1/2/3x),1996-06-10,2026-06-09,7548,0.3525834248172788,0.2775904206640043,3.3541889487196475,-0.47406598515122916,0.7437433518981605,851174.0319019869,890,1111355.953230408,26.497085320614733,73.50291467938527,10.0,4.0,822.0,1714.0,26.497085320614733,9.234234234234235,50.370959194488606,13.897721250662427,3.0,ema
SPX,Guarded A5/B25 SMA20 Lead (full 0/1/2/3x),1996-06-10,2026-06-09,7548,0.37226558323707315,0.2769015618089221,3.1331992598467204,-0.2789278577942374,1.3346303455701802,1312852.4068134984,773,1214018.6474490848,28.7758346581876,71.2241653418124,10.0,4.0,747.0,1861.0,28.7758346581876,8.929517753047165,48.675145733969266,13.619501854795974,3.0,sma
SPX,SMA20 1x/cash,1996-06-10,2026-06-09,7548,0.16116016919997467,0.10989462665857799,3.9148919331798964,-0.16919120234236967,0.9525327970295779,8752.509621381152,867,14966.385664191435,36.97668256491786,63.02331743508214,,,,,,,,,,
