year,equity_p10,equity_median,equity_p90,dd_p10,dd_median,dd_p90
1,97.1159115099236,114.93680947868378,137.68945838843908,0.048760800351853595,0.08290815923833167,0.16043964071245448
2,114.65710715572615,153.19877943656718,212.55742323524504,0.05734951909439051,0.12454931815289355,0.23959796627427732
3,139.0868673829556,204.8369731635641,313.9449582255312,0.061369872162626064,0.14683226533546795,0.284574365075555
4,177.20189255141338,277.5799139868684,432.07606741642843,0.06772964632641842,0.1490568160953848,0.28911244420543497
5,227.80913903506115,357.9434850561589,586.304995870875,0.07136652440166645,0.15083753489839047,0.2926142032784319
6,263.3002136474608,453.28133812739895,851.4546529159276,0.06629585612725578,0.16428430546179135,0.30390958123716083
7,330.6418726695813,586.6420383285466,1150.9805468073757,0.07032983937480149,0.16167762872099484,0.31595502781837487
8,417.02099485205815,766.7396830181083,1594.1537650344476,0.06499950079494436,0.1599623158000965,0.3110855985105788
9,517.1566759338357,1001.9979549184391,2066.672722993168,0.06765262419277694,0.1603975334311339,0.31697241788422975
10,594.4496246218431,1217.1784320296194,2423.4544328942125,0.05743664367152296,0.14203547054837629,0.28695268073415586
