strategy,leverage,confirmation_days,cagr,ann_volatility,sharpe,max_drawdown,end_$,rebalances,trading_costs_total,funding_costs_total,pct_days_in_market,pct_days_cash,cagr_delta_pp_vs_no_wait,max_dd_delta_pp_vs_no_wait,sharpe_delta_vs_no_wait
SMA20 1x/cash (no wait),1.0,1,0.16049563451331328,0.10987505752790387,3.913067811306121,-0.16919120234236992,8599.992383156661,868,14822.241407764302,0.0,62.92566582748111,37.07433417251888,0.0,0.0,0.0
SMA20 1x/cash (2 closes above),1.0,2,0.062413877598153755,0.0947403040180033,2.54088586048434,-0.30362917541030043,608.5093735267957,652,1792.072000341737,0.0,57.17503643831986,42.82496356168014,-9.808175691515952,-13.443797306793051,-1.3721819508217807
SMA20 1x/cash (3 closes above),1.0,3,0.05041126806979168,0.08989603757879774,2.1183181266011575,-0.3232316614291107,432.7829620568474,564,1193.1619089840024,0.0,52.85543924738306,47.14456075261693,-11.008436644352159,-15.404045908674076,-1.7947496847049633
SMA20 1x/cash (4 closes above),1.0,4,0.04730649566428502,0.08552305385751788,1.9435017240611359,-0.27693298287399376,396.0150685993526,506,1025.7635752989736,0.0,49.118855174241425,50.88114482575858,-11.318913884902827,-10.774178053162384,-1.969566087244985
SMA20 1x/cash (5 closes above),1.0,5,0.04323632293817403,0.08237511190651148,1.7934345957916533,-0.2924792915216245,352.36305247751187,462,930.4303969797231,0.0,45.7665297469193,54.2334702530807,-11.725931157513925,-12.328808917925457,-2.1196332155144675
SMA20 2x/cash (no wait),2.0,1,0.26234393226343067,0.21971854655059941,3.7938088326282946,-0.339205737387403,107219.45036584351,868,199441.20528736943,9945.334132429933,62.92566582748111,37.07433417251888,0.0,0.0,0.0
SMA20 2x/cash (2 closes above),2.0,2,0.0561226200211411,0.1894597825618595,2.4040283918805816,-0.5838554210733682,509.2173726886227,652,2786.1341647632926,110.89501779012419,57.17503643831986,42.82496356168014,-20.62213122422896,-24.46496836859652,-1.389780440747713
SMA20 2x/cash (3 closes above),2.0,3,0.03857617369180355,0.17977329807330034,1.9754551430424003,-0.7395553442564294,308.08697124204036,564,1625.225457257077,71.50703012693916,52.85543924738306,47.14456075261693,-22.376775857162713,-40.03496068690264,-1.8183536895858943
SMA20 2x/cash (4 closes above),2.0,4,0.03417485795974384,0.1710254922426607,1.7946440071170267,-0.7054725014020913,271.2405176304241,506,1371.989404566043,64.14054965802414,49.118855174241425,50.88114482575858,-22.816907430368683,-36.62667640146883,-1.999164825511268
SMA20 2x/cash (5 closes above),2.0,5,0.027664982897920076,0.16471950262819,1.6401904798461155,-0.7477852507839874,224.4402936994303,462,1259.0571388558901,58.78047685508396,45.7665297469193,54.2334702530807,-23.46789493655106,-40.85795133965844,-2.1536183527821793
SMA20 3x/cash (no wait),3.0,1,0.35763552408847876,0.32956460395356896,3.7540189676688844,-0.49155774776379235,951091.1516606507,868,1843653.5503940776,142468.926977397,62.92566582748111,37.07433417251888,0.0,0.0,0.0
SMA20 3x/cash (2 closes above),3.0,2,0.04879000853219728,0.2841822437161186,2.3583777970612085,-0.8243931098809147,413.19002549358765,652,3260.162002709051,180.90255048310496,57.17503643831986,42.82496356168014,-30.88455155562815,-33.28353621171224,-1.395641170607676
SMA20 3x/cash (3 closes above),3.0,3,0.03014635739690119,0.2696537017369493,1.9278050449888335,-0.9069796358753608,241.27639893249548,564,1843.5063452866398,114.04310731427186,52.85543924738306,47.14456075261693,-32.74891666915776,-41.54218881115684,-1.826213922680051
SMA20 3x/cash (4 closes above),3.0,4,0.025251301320414532,0.25653123293833424,1.744994329495965,-0.8879360229091794,209.15629539161546,506,1553.0308582515868,103.95393381952472,49.118855174241425,50.88114482575858,-33.238422276806425,-39.63782751453871,-2.0090246381729195
SMA20 3x/cash (5 closes above),3.0,5,0.01729501850911941,0.24706732166314974,1.5890743540799879,-0.9063472273863116,165.57385434150368,462,1456.4780446826335,96.89970666143442,45.7665297469193,54.2334702530807,-34.034050557935934,-41.47894796225192,-2.1649446135888963
