Strategy,Leverage_Max,CAGR_pct,Vol_pct,Sharpe,Sortino,Calmar,MaxDD_pct,End_Value,Start_Date,End_Date,Years,Pct_Cash_Time,Trades_Per_Year,Total_Trades,Avg_Leverage,Beat_BH_Sharpe,Beat_BH_Calmar,Beat_BH_DD,Beat_BH_CAGR
Buy & Hold 1x,1.0,12.60,27.10,0.437,0.581,0.191,-65.83,1555.92,2003-04-14,2026-06-18,23.18,0.0,0.1,2,1.00,0,0,0,0
SMA20 1x/cash,1.0,0.63,16.52,0.236,0.238,0.008,-79.27,115.14,2003-04-14,2026-06-18,23.18,41.7,30.5,706,1.00,0,0,0,0
SMA200 1x/cash,1.0,5.92,16.44,0.290,0.318,0.115,-51.62,377.59,2003-04-14,2026-06-18,23.18,36.2,9.1,212,1.00,0,0,1,0
SMA50/200 Golden Cross 1x/cash,1.0,8.23,17.98,0.274,0.285,0.184,-44.74,622.39,2003-04-14,2026-06-18,23.18,35.9,1.6,36,1.00,0,0,1,0
BB Mean Reversion 1x/cash,1.0,5.09,17.56,0.202,0.126,0.106,-48.03,314.80,2003-04-14,2026-06-18,23.18,78.2,8.2,189,1.00,0,0,1,0
Momentum 12m 1x/cash,1.0,7.31,17.41,0.334,0.366,0.122,-59.70,510.50,2003-04-14,2026-06-18,23.18,34.8,6.1,142,1.00,0,0,1,0
MACD 1x/cash,1.0,1.84,17.46,0.214,0.204,0.034,-54.24,151.66,2003-04-14,2026-06-18,23.18,48.8,20.5,475,1.00,0,0,1,0
SMA200 ±3% Band 1x/cash,1.0,7.89,16.63,0.260,0.285,0.211,-37.48,578.59,2003-04-14,2026-06-18,23.18,35.9,2.2,50,1.00,0,1,1,0
SMA200 ±3% Band + RSI>30 Exit 1x/cash,1.0,8.41,16.96,0.294,0.323,0.202,-41.56,646.80,2003-04-14,2026-06-18,23.18,35.5,2.1,48,1.00,0,1,1,0
Buy & Hold 2x,2.0,11.92,54.20,0.412,0.548,0.128,-93.12,1353.35,2003-04-14,2026-06-18,23.18,0.0,0.1,2,2.00,0,0,0,0
SMA20 2x/cash,2.0,-1.47,33.04,0.213,0.215,-0.015,-96.07,70.67,2003-04-14,2026-06-18,23.18,41.7,30.5,706,2.00,0,0,0,0
SMA200 2x/cash,2.0,4.01,32.87,0.265,0.290,0.049,-82.50,247.32,2003-04-14,2026-06-18,23.18,36.2,9.1,212,2.00,0,0,0,0
SMA50/200 Golden Cross 2x/cash,2.0,7.10,35.95,0.251,0.261,0.092,-77.55,488.29,2003-04-14,2026-06-18,23.18,35.9,1.6,36,2.00,0,0,0,0
SMA200 2x monthly,2.0,9.03,36.65,0.339,0.358,0.118,-76.80,738.17,2003-04-14,2026-06-18,23.18,35.5,1.9,44,2.00,0,0,0,0
SMA200 ±3% Band 2x/cash,2.0,6.79,33.27,0.236,0.258,0.095,-71.58,456.03,2003-04-14,2026-06-18,23.18,35.9,2.2,50,2.00,0,0,0,0
SMA200 ±3% Band + RSI>30 Exit 2x/cash,2.0,7.67,33.92,0.270,0.296,0.104,-73.42,551.48,2003-04-14,2026-06-18,23.18,35.5,2.1,48,2.00,0,0,0,0
Guarded A5/B25 2x,2.0,-1.31,31.02,0.175,0.172,-0.014,-94.31,73.30,2003-04-14,2026-06-18,23.18,41.7,30.9,716,1.81,0,0,0,0
Guarded A10/B20 2x,2.0,-1.51,29.66,0.155,0.152,-0.016,-92.63,69.90,2003-04-14,2026-06-18,23.18,41.7,30.7,712,1.74,0,0,0,0
Guarded+ (200/2x/floor) 2x,2.0,4.22,30.47,0.325,0.354,0.051,-83.29,259.48,2003-04-14,2026-06-18,23.18,36.2,10.0,231,1.84,0,0,0,0
Mom 12m 2x/cash,2.0,5.93,34.81,0.310,0.340,0.067,-88.04,378.25,2003-04-14,2026-06-18,23.18,34.8,6.1,142,2.00,0,0,0,0
Golden 2x volguard,2.0,6.96,33.97,0.256,0.276,0.087,-80.24,473.72,2003-04-14,2026-06-18,23.18,35.9,3.6,84,1.98,0,0,0,0
BB Mean Reversion 2x/cash,2.0,2.24,35.11,0.193,0.121,0.029,-78.37,166.22,2003-04-14,2026-06-18,23.18,78.2,8.2,189,2.00,0,0,0,0
SMA200 ±3% Band + RSI Scale 1-2x,2.0,8.29,17.36,0.308,0.335,0.192,-43.07,629.78,2003-04-14,2026-06-18,23.18,35.5,2.8,65,1.01,0,1,1,0
SMA200 ±3% Band + VIX Scale 1-2x,2.0,9.10,20.97,0.448,0.493,0.199,-45.66,749.64,2003-04-14,2026-06-18,23.18,35.5,6.9,160,1.07,1,1,1,0
SMA200 ±3% Band + Distance Scale 1-2x,2.0,4.36,26.64,0.235,0.250,0.064,-68.20,267.29,2003-04-14,2026-06-18,23.18,35.9,10.2,236,1.59,0,0,0,0
SMA200 ±3% Band + DD Scale 1-2x,2.0,7.80,21.35,0.322,0.346,0.145,-53.79,567.77,2003-04-14,2026-06-18,23.18,35.9,4.4,102,1.20,0,0,1,0
SMA200 ±3% Band + BB Scale 1-2x,2.0,5.60,18.11,0.302,0.327,0.117,-47.83,351.88,2003-04-14,2026-06-18,23.18,35.9,9.7,224,1.04,0,0,1,0
RSI Counter-Cyclical 1-2x,2.0,0.92,25.63,0.395,0.364,0.016,-56.72,123.03,2003-04-14,2026-06-18,23.18,60.6,32.1,745,1.05,0,0,1,0
VIX Counter-Cyclical 1-2x,2.0,9.44,43.72,0.423,0.509,0.108,-87.60,805.69,2003-04-14,2026-06-18,23.18,0.0,8.9,206,1.15,0,0,0,0
